Block Name,Point ID,material_id,Points_0,Points_1,Points_2,Points_Magnitude
block_113,31,113,0.36195,-0.626916,21.336,21.3483
block_113,32,113,0.7239,-0.417944,23.114,23.1291
block_113,33,113,0.7239,-0.417944,21.336,21.3524
block_113,34,113,0.7239,-5.55112e-17,23.114,23.1253
block_113,35,113,0.7239,-5.55112e-17,21.336,21.3483
block_113,36,113,0.00909704,-0.0185493,23.114,23.114
block_113,37,113,0.00909704,-0.0185493,21.336,21.336
block_114,0,114,0,0.835888,24.892,24.906
block_114,1,114,0.00636137,0.42521,24.892,24.8956
block_114,2,114,0.36195,0.626916,24.892,24.9025
block_114,3,114,0,0.835888,23.114,23.1291
block_114,4,114,0.00636137,0.42521,23.114,23.1179
block_114,5,114,0.36195,0.626916,23.114,23.1253
block_114,6,114,0.368245,0.217017,24.892,24.8957
block_114,7,114,0.7239,0.417944,24.892,24.906
block_114,8,114,0.368245,0.217017,23.114,23.118
block_114,9,114,0.7239,0.417944,23.114,23.1291
block_114,10,114,-0.364276,0.218077,24.892,24.8956
block_114,11,114,-0.36195,0.626916,24.892,24.9025
block_114,12,114,-0.364276,0.218077,23.114,23.1179
block_114,13,114,-0.36195,0.626916,23.114,23.1253
block_114,14,114,-0.7239,0.417944,24.892,24.906
block_114,15,114,-0.7239,0.417944,23.114,23.1291
block_114,16,114,-0.381395,-0.208972,24.892,24.8958
block_114,17,114,-0.7239,5.55112e-17,24.892,24.9025
block_114,18,114,-0.7239,-0.417944,24.892,24.906
block_114,19,114,-0.381395,-0.208972,23.114,23.1181
block_114,20,114,-0.7239,5.55112e-17,23.114,23.1253
block_114,21,114,-0.7239,-0.417944,23.114,23.1291
block_114,22,114,0,-0.835888,24.892,24.906
block_114,23,114,-0.00972244,-0.434784,24.892,24.8958
block_114,24,114,-0.36195,-0.626916,24.892,24.9025
block_114,25,114,0,-0.835888,23.114,23.1291
block_114,26,114,-0.00972244,-0.434784,23.114,23.1181
block_114,27,114,-0.36195,-0.626916,23.114,23.1253
block_114,28,114,0.371672,-0.225812,24.892,24.8958
block_114,29,114,0.36195,-0.626916,24.892,24.9025
block_114,30,114,0.371672,-0.225812,23.114,23.1181
block_114,31,114,0.36195,-0.626916,23.114,23.1253
block_114,32,114,0.7239,-0.417944,24.892,24.906
block_114,33,114,0.7239,-0.417944,23.114,23.1291
block_114,34,114,0.7239,-5.55112e-17,24.892,24.9025
block_114,35,114,0.7239,-5.55112e-17,23.114,23.1253
block_114,36,114,0.00909704,-0.0185493,24.892,24.892
block_114,37,114,0.00909704,-0.0185493,23.114,23.114
block_115,0,115,0,0.835888,26.67,26.6831
block_115,1,115,0.00636137,0.42521,26.67,26.6734
block_115,2,115,0.36195,0.626916,26.67,26.6798
block_115,3,115,0,0.835888,24.892,24.906
block_115,4,115,0.00636137,0.42521,24.892,24.8956
block_115,5,115,0.36195,0.626916,24.892,24.9025
block_115,6,115,0.368245,0.217017,26.67,26.6734
block_115,7,115,0.7239,0.417944,26.67,26.6831
block_115,8,115,0.368245,0.217017,24.892,24.8957
block_115,9,115,0.7239,0.417944,24.892,24.906
block_115,10,115,-0.364276,0.218077,26.67,26.6734
block_115,11,115,-0.36195,0.626916,26.67,26.6798
block_115,12,115,-0.364276,0.218077,24.892,24.8956
block_115,13,115,-0.36195,0.626916,24.892,24.9025
block_115,14,115,-0.7239,0.417944,26.67,26.6831
block_115,15,115,-0.7239,0.417944,24.892,24.906
block_115,16,115,-0.381395,-0.208972,26.67,26.6735
block_115,17,115,-0.7239,5.55112e-17,26.67,26.6798
block_115,18,115,-0.7239,-0.417944,26.67,26.6831
block_115,19,115,-0.381395,-0.208972,24.892,24.8958
block_115,20,115,-0.7239,5.55112e-17,24.892,24.9025
